"","Locus","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5437","CR_00640W",4472.50576828906,-0.649528381004173,0.274566039631397,-2.36565447742976,0.0179982329687991,0.0424949078008268
"5438","CR_00650W",22.0367495429081,3.05074551453895,1.00795471606411,3.02666922027171,0.00247264376047673,0.00861556137026888
"5439","CR_00660W",46.6571728764511,1.00700075439191,0.305051921100822,3.3010798645621,0.000963134624027324,0.00404666372555807
"5440","CR_00670C",106.662138094726,0.35019648400864,0.190030103533594,1.84284740941969,0.0653512925724003,0.1185936469171
"5441","CR_00680W",310.603810168595,-0.241101298689794,0.220955128006917,-1.09117765613589,0.275194717659269,0.37259901092955
"5442","CR_00690C",175.77012714297,0.45257392600755,0.180747397116645,2.50390286790953,0.0122831750419391,0.0309734936690407
"5443","CR_00700W",69.4517958040326,0.750292774862265,0.133857281205952,5.60516968597224,2.08051036584199e-08,5.09407404460931e-07
"5444","CR_00710C",43.579119820723,0.686582062194304,0.204939332743747,3.35017223391078,0.000807613262843162,0.00353399664470593
"5445","CR_00720W",5.77012655547283,1.462653201631,0.648706594844011,2.25472226312531,0.0241507673356766,0.0533312125502117
"5446","CR_00730C",1.26924055359387,1.280937457691,1.51454573314523,0.845756869309519,0.397688390821396,0.499153008632216
"5447","CR_00740C",535.701516747381,0.511648124614696,0.235763169717572,2.17017834137374,0.0299933381826501,0.063354384076951
"5448","CR_00750C",121.026174091317,0.101885726346639,0.199170636960937,0.511549934775887,0.608966032155568,0.696348858516572
"5449","CR_00760C",446.429042293331,-1.48908286962013,0.285061654544075,-5.22372211724428,1.75361884422388e-07,3.06524928765564e-06
"5450","CR_00770W",4.38885297084101,2.16761875756214,1.30398133922512,1.66230811159477,0.096451012213525,0.161091242701956
"5451","CR_00780C",4403.93228648168,-1.54893186239423,0.2748396301562,-5.63576607024949,1.74281828387334e-08,4.36725753556543e-07
"5452","CR_00790C",11.8407070631025,1.53881012769046,0.637357303576311,2.4143602325665,0.0157628693047739,0.0382157243348922
"5453","CR_00800C",731.414345014949,-0.474221005394515,0.263166419793258,-1.80198144492394,0.0715483249290838,0.126966114639024
"5454","CR_00810W",70.3855977187879,-0.583839503586529,0.265370883147138,-2.20008878390329,0.0278005964965136,0.0596169431799412
"5455","CR_00820C",232.000685641362,0.691540160130511,0.183973943262521,3.75890274387237,0.000170660155336326,0.000995258996802303
"5456","CR_00830W",86.3953819787817,0.030362063860719,0.15700667060156,0.193380725445542,0.846660809392473,0.889798344078099
"5457","CR_00840C",20.5276134247352,2.03361522620757,0.793770268093313,2.56196951177378,0.0104080454756739,0.0270972450188507
"5458","CR_00850C",825.704497578167,0.341283576099367,0.358486821036739,0.952011499648382,0.341091149836335,0.441110073595778
"5459","CR_00860C",13143.7594594107,-1.21172518919324,0.307832386510321,-3.93631483330821,8.27424085331741e-05,0.000548906464054097
"5460","CR_00870C",183.532857196655,0.516224940656912,0.373433847680022,1.38237319371018,0.166857142518418,0.251272215704335
"5461","CR_00880W",93.5177525965294,0.355343256633321,0.205659802078787,1.7278206681206,0.0840203807215297,0.14465666729163
"5462","CR_00890C",112.805596281875,0.806959379195578,0.228051244223018,3.53850022588094,0.000402406937150687,0.00198626503224263
"5463","CR_00900W",226.781584681105,0.0984417128103052,0.273191334727181,0.360339806929135,0.718593034282104,0.788804639787765
"5464","CR_00910W",5442.37300483826,0.2812819995525,0.235689352105919,1.19344381508628,0.232695603951332,0.327571274818476
"5465","CR_00920W",53.6420641328642,1.32997916827509,0.457720626489119,2.90565705652487,0.00366482875674086,0.0117431950422041
"5466","CR_00930W",343.32330591857,-1.2007647099851,0.593954777113625,-2.021643324127,0.0432132128830973,0.0852699971224452
"5467","CR_00970W",84.5831982739383,0.842629475756367,0.569268125968815,1.48019788447198,0.138820444850063,0.216201299760415
"5468","CR_00980C",1313.40561170795,0.46014260090312,0.267400595920742,1.72079871145653,0.085287356336002,0.146405777601138
"5469","CR_00990W",245.150470569599,0.889066973451115,0.205867728262913,4.31863206998472,1.56999261639058e-05,0.000138535111886459
"5470","CR_01000C",1109.19786698145,-0.368211162770341,0.394748298599456,-0.932774540325398,0.350936389084147,0.450882622866974
"5471","CR_01010W",43.4271014065066,0.610711466592336,0.27298311255853,2.23717672814428,0.0252747917292251,0.0551764862787984
"5472","CR_01020C",370.35483994625,0.872953841220976,0.447343768050193,1.9514161223836,0.0510075651379802,0.0977048463302905
"5473","CR_01030W",351.684230566311,0.516953875659069,0.304931681098063,1.69531048331059,0.0900165371500189,0.152725756629826
"5474","CR_01040C",247.69498133993,0.854501542949055,0.231200552783069,3.69593209299467,0.000219081529637024,0.00121051508408399
"5475","CR_01050C",334.773374934516,0.722266786161102,0.268724876433016,2.6877555801617,0.00719340293589559,0.0202814776848852
"5476","CR_01060W",514.01376989676,-0.925588018182484,0.234971572875573,-3.93914892280446,8.17711636742064e-05,0.000543587580279828
"5477","CR_01070W",104.857081558374,1.05567289667567,0.264437614806263,3.99214346812611,6.54787359896888e-05,0.000453124154664351
"5478","CR_01080W",320.785214743996,0.458396689425052,0.155993671091297,2.93855953397474,0.00329741322491915,0.0108254379927617
"5479","CR_01090W",318.734304786501,0.519790597493685,0.258835512138513,2.00818888103548,0.0446232241134064,0.0875674465241671
"5480","CR_01100C",231.522212143793,0.377799864719723,0.168721228516698,2.23919579083869,0.0251431796065359,0.0549364772397575
"5481","CR_01110W",775.629107684241,-0.0187808504432779,0.13207701716994,-0.142196203743102,0.886925030295601,0.918850990667503
"5482","CR_01120C",359.337855942539,0.0282877670189123,0.159855560569243,0.176958292337033,0.859541150379359,0.899356790031575
"5483","CR_01130W",252.053513900983,0.387455410300211,0.136154868199066,2.8456963414171,0.00443144308335421,0.013786473026051
"5484","CR_01140C",317.852627837508,-0.108869447311347,0.192357378491444,-0.565974896129026,0.571410846032688,0.665092315950597
"5485","CR_01150C",169.302668949801,0.140622961012878,0.130848828897927,1.07469789525266,0.282510006384401,0.380336136611947
"5486","CR_01160W",5.97265639265569,2.5220155723176,1.04338515993587,2.41714725219268,0.0156426875511976,0.0379386921137741
"5487","CR_01170W",732.739259921028,-0.129321772717551,0.144582961682825,-0.89444683669745,0.37108286234913,0.471385457815776
"5488","CR_01180W",243.288722362546,0.545548806930271,0.207337156221554,2.6312158267827,0.00850799862136682,0.0230582218656815
"5489","CR_01190C",859.156452167271,0.849234959623319,0.319237755347384,2.66019587407264,0.00780952200196856,0.021572744631221
"5490","CR_01200W",177.27322187911,1.9467130461402,0.370323221749296,5.25679442122076,1.46588017374814e-07,2.61939312384243e-06
"5491","CR_01210C",544.877897231949,0.284654342926244,0.151425020209393,1.87983691554156,0.0601303076430773,0.111163090354565
"5492","CR_01220W",132.083177930327,1.82823861491042,0.599612275460948,3.04903466745236,0.00229577987432306,0.00808754963963888
"5493","CR_01230C",250.065680343558,0.492769930883321,0.270157597892104,1.82400915142917,0.0681506887309505,0.122461251599173
"5494","CR_01240C",729.224850133156,-0.0783145720221375,0.234490971081558,-0.333976918859272,0.738396975731517,0.804623169580037
"5495","CR_01250C",19.559873078362,1.72744820201902,0.804982604590784,2.14594475975934,0.0318773861691183,0.0666971403375387
"5496","CR_01260W",458.223549202488,0.225974141631485,0.297842248563339,0.758704121801005,0.448029570694704,0.551017963191435
"5497","CR_01270C",209.936897194374,0.191958704328592,0.240061389006481,0.799623401010188,0.42392902512601,0.526621170565853
"5498","CR_01280C",559.159296147874,0.42592597811294,0.294736758287926,1.44510640812863,0.148427999305827,0.22855631674193
"5499","CR_01290C",699.850090308964,-0.933554777740242,0.22586406927372,-4.13325935702012,3.5765474275921e-05,0.000275432794093677
"5500","CR_01300W",436.119118128284,0.283890823492014,0.185379096698899,1.53140687675872,0.125668865584396,0.199496603000223
"5501","CR_01310W",2776.95377349635,-0.554385750699917,0.21891107877873,-2.53247005036359,0.0113262045049758,0.0290038673562949
"5502","CR_01320C",356.862322918053,0.280981566139712,0.22047805055426,1.27441967775637,0.202514722177252,0.292993221192393
"5503","CR_01330W",1057.40351754221,0.687233047942585,0.440015293157286,1.56183900566594,0.118325920345859,0.190247984340277
"5504","CR_01340W",733.947709294998,1.31081011306222,0.509276577022101,2.5738668774577,0.0100568959974211,0.0263538518476524
"5505","CR_01350C",799.152647336309,-0.143361737748431,0.153562958087595,-0.933569784886892,0.350525857365887,0.450625926854141
"5506","CR_01360W",81.8863556859633,1.22817929266711,0.2727973924653,4.50216654040538,6.72642398402896e-06,6.90400157720733e-05
"5507","CR_01370C",428.821280130578,-0.374580885224382,0.224303525417387,-1.66997324062276,0.0949246580921745,0.159096272206628
"5508","CR_01380W",259.436436244419,0.613182976269847,0.249148441876273,2.4611150350856,0.0138505948783923,0.0341736792864949
"5509","CR_01390W",992.320389398551,-0.66985458620407,0.230385062872284,-2.90754347461931,0.00364279705682276,0.0116920067956445
"5510","CR_01400W",2286.02378247306,-0.469636074268692,0.369924861723526,-1.26954450176882,0.204246929050388,0.29529953794416
"5511","CR_01410C",417.671719537535,-0.937920262589271,0.270331891868665,-3.4695139227041,0.000521401043085885,0.00245398950212469
"5512","CR_01420W",764.089686918327,0.468139400665996,0.248120701231386,1.88674059980763,0.0591952240476204,0.109655605620989
"5513","CR_01430W",164.893834662196,1.27399735154872,0.304611024317536,4.18237440487599,2.88480386660807e-05,0.000229318671676466
"5514","CR_01440C",2634.90725836823,-2.91130675317564,0.464012823584983,-6.27419460238784,3.51448722072147e-10,1.56768798828031e-08
"5515","CR_01450C",1.49948440954765,-0.167479165472128,0.967118452041987,-0.173173374076888,0.862515151832617,0.90158623089559
"5516","CR_01460C",3.84458792184266,0.789945445297485,0.693253273217825,1.13947596905075,0.254504685798004,0.350805234076965
"5517","CR_01470W",5062.07574410313,0.693938851235448,0.414015325916137,1.67611875164257,0.0937149344656518,0.15750099675063
"5518","CR_01480W",231.819264806459,0.792988240417608,0.370158539666447,2.14229351869655,0.0321698700654683,0.0671776420800713
"5519","CR_01490C",472.807781171319,-0.489501639632283,0.258651017651258,-1.89251774099835,0.0584220321586507,0.108480812772038
"5520","CR_01500W",659.756192011586,0.466891784681183,0.333063130543253,1.40181167432025,0.160971491375492,0.243948055084759
"5521","CR_01510C",2.03645602370758,0.733452016861495,1.06023362372169,0.691783396084813,0.489073365322212,0.589073533334958
"5522","CR_01520W",1184.33211217238,-0.251140572892299,0.257908451039653,-0.973758602635655,0.330176412193029,0.43067948032092
"5523","CR_01530C",5.12176099177094,2.35205759354904,1.08512473483524,2.16754582956416,0.0301932591397776,0.0636766450287924
"5524","CR_01540W",625.122563104877,1.30775886945063,0.41537399230106,3.14838890659956,0.00164173112946832,0.00615048973981213
"5525","CR_01550C",68.5920727994815,-0.0731269033062538,0.261214840835821,-0.279949267324423,0.77951642791198,0.839730963065551
"5526","CR_01560W",172.073156768994,0.86215610339739,0.447984907844388,1.92452042089076,0.0542893835710845,0.102824445116182
"5527","CR_01570W",243.666727901493,0.783990829526219,0.408736661812254,1.91808296826168,0.0551004917057027,0.103809002728952
"5528","CR_01580C",318.061582493798,0.143016782764996,0.185090820257031,0.772684364175338,0.439709202440071,0.542240394781441
"5529","CR_01590C",412.881760340107,-0.568698447845225,0.28910538796361,-1.96709736837146,0.0491719866029237,0.0949257580673355
"5530","CR_01600C",59.1179949973897,0.119327197252308,0.242591607934375,0.491885099688146,0.62280057233695,0.706751401298697
"5531","CR_01610C",604.047093262235,-0.0058724601509652,0.166063461928073,-0.0353627467642987,0.971790489895922,0.979270498379256
"5532","CR_01620C",7655.48539609154,-0.399712448805005,0.436154615785023,-0.916446678170707,0.359432662361376,0.45931484642395
"5533","CR_01630C",22.6198623087919,1.8557312766134,0.339409889021554,5.46752271114749,4.56368750009475e-08,9.82417963527107e-07
"5534","CR_01640C",6.42155728189205,2.22869095754771,0.594092672648564,3.75141970294269,0.000175836068794624,0.00101804005534072
"5535","CR_01650W",377.126380430003,0.162828045087499,0.17925631360813,0.90835319442893,0.363691646342806,0.463649028475576
"5536","CR_01660C",209.652313813368,0.14021395732955,0.134883894534221,1.03951593193341,0.298564852396162,0.396623219739362
"5537","CR_01670W",204.476813330936,0.68108434225902,0.367944672744209,1.85105096692758,0.0641622211807031,0.116898792636811
"5538","CR_01680C",947.799640598159,-0.503142431787454,0.193736338632865,-2.5970472826005,0.00940289796035372,0.0249357546158202
"5539","CR_01690C",1240.44657150688,-0.734145411993158,0.293897161182437,-2.49796700668856,0.0124907818586993,0.0314228884798258
"5540","CR_01700C",174.998572834893,-0.222502343848126,0.17346796537813,-1.28267108778909,0.199607333260961,0.28930886644127
"5541","CR_01710W",117.9311551005,0.585260419878695,0.39723462168799,1.47333688436249,0.140660219753895,0.218694936917411
"5542","CR_01720W",474.066727207708,0.546114132634475,0.325247784610781,1.67907102976274,0.0931382014818463,0.156823300193225
"5543","CR_01730W",857.186127524317,0.658327456022283,0.258172531531881,2.54995158515145,0.0107737879560837,0.0278909805239212
"5544","CR_01740W",570.045907937871,0.191437270765672,0.163088758493377,1.17382260147284,0.240466089104708,0.33592986968787
"5545","CR_01750C",2024.85967928095,0.13668373538325,0.143278524441393,0.953972243336157,0.34009769262557,0.440485907165966
